fog_nodes,iot_tasks,cpu_limit,algorithm,fog_energy,cloud_energy,energy_saved_percent,qos_satisfaction,throughput
55,183,124,Bin Packing,208.65,323.11,35.42,79.36,3.33
60,1692,652,Bin Packing,218.3,454.95,52.02,88.78,28.2
87,1890,168,Round Robin,303.23,495.02,38.74,79.08,21.72
66,890,615,Bin Packing,153.55,309.59,50.4,74.86,13.48
36,1635,591,Round Robin,254.15,546.82,53.52,91.86,45.42
34,898,339,Round Robin,172.86,346.32,50.09,93.93,26.41
33,656,460,Round Robin,205.91,420.27,51.01,62.88,19.88
53,1853,540,FCFS,382.56,436.4,12.34,71.16,34.96
49,72,130,Bin Packing,441.92,567.28,22.1,80.31,1.47
97,615,998,Bin Packing,109.16,381.33,71.37,72.66,6.34
34,1959,728,Round Robin,326.36,566.1,42.35,91.34,57.62
20,815,806,Bin Packing,114.42,298.61,61.68,64.59,40.75
44,1014,701,Bin Packing,134.1,409.14,67.22,91.91,23.05
23,284,789,Round Robin,382.03,553.59,30.99,84.72,12.35
22,1045,756,QoS Aware Heuristic,394.24,585.87,32.71,71.57,47.5
5,1132,813,QoS Aware Heuristic,425.59,571.13,25.48,73.78,226.4
82,1237,421,Round Robin,289.7,494.71,41.44,67.32,15.09
51,1844,443,FCFS,443.92,573.67,22.62,70.1,36.16
70,875,814,Bin Packing,166.74,313.11,46.75,88.69,12.5
96,265,635,Bin Packing,199.89,491.47,59.33,75.04,2.76
98,1256,454,QoS Aware Heuristic,153.8,231.63,33.6,87.5,12.82
42,1642,570,Round Robin,419.01,495.32,15.41,80.56,39.1
55,706,204,FCFS,191.47,252.3,24.11,65.81,12.84
67,984,886,Round Robin,162.2,292.21,44.49,79.96,14.69
8,1163,421,QoS Aware Heuristic,349.24,498.8,29.98,90.26,145.38
5,360,671,QoS Aware Heuristic,130.83,204.46,36.01,71.91,72.0
12,606,982,Bin Packing,117.96,305.24,61.35,85.92,50.5
33,1021,626,Reinforcement Learning,142.69,338.52,57.85,67.96,30.94
59,306,603,FCFS,100.1,337.86,70.37,65.43,5.19
7,582,184,FCFS,378.8,672.79,43.7,74.41,83.14
36,1606,808,Reinforcement Learning,324.89,529.73,38.67,75.57,44.61
14,101,334,QoS Aware Heuristic,183.95,261.86,29.75,90.44,7.21
78,1411,955,Round Robin,193.2,265.33,27.19,78.4,18.09
87,1244,362,FCFS,424.39,668.78,36.54,63.25,14.3
38,1140,105,Reinforcement Learning,300.73,513.31,41.41,85.36,30.0
91,1698,593,Bin Packing,379.41,469.89,19.26,78.77,18.66
59,349,992,Bin Packing,281.1,394.44,28.73,73.27,5.92
96,721,388,QoS Aware Heuristic,195.09,432.65,54.91,92.09,7.51
36,827,669,FCFS,488.16,679.7,28.18,66.18,22.97
54,881,756,Round Robin,326.26,522.51,37.56,96.53,16.31
11,281,977,FCFS,152.39,254.89,40.21,73.36,25.55
97,1024,653,Bin Packing,262.44,469.7,44.13,78.44,10.56
12,1910,449,FCFS,231.73,474.39,51.15,97.17,159.17
69,1141,299,Bin Packing,185.63,456.94,59.38,90.45,16.54
61,1579,785,Reinforcement Learning,473.38,707.56,33.1,62.97,25.89
71,77,996,Reinforcement Learning,452.37,646.46,30.02,83.13,1.08
92,1701,434,Bin Packing,179.66,397.97,54.86,72.41,18.49
91,1124,706,Round Robin,240.86,412.14,41.56,80.34,12.35
63,1766,316,Round Robin,404.93,511.65,20.86,89.72,28.03
76,1333,722,FCFS,183.4,453.95,59.6,79.85,17.54
58,640,452,Bin Packing,336.63,519.79,35.24,62.84,11.03
71,834,791,QoS Aware Heuristic,379.92,578.5,34.33,81.2,11.75
55,669,774,Round Robin,361.59,659.12,45.14,60.97,12.16
96,635,730,Round Robin,382.56,678.81,43.64,73.94,6.61
12,1760,424,Reinforcement Learning,382.68,579.26,33.94,79.12,146.67
38,1051,327,Round Robin,485.92,544.41,10.74,85.79,27.66
39,233,244,Round Robin,238.6,387.64,38.45,80.25,5.97
92,1096,407,Round Robin,451.44,735.76,38.64,66.08,11.91
82,1859,753,Bin Packing,108.72,230.8,52.89,97.29,22.67
36,178,733,Bin Packing,215.28,515.1,58.21,86.01,4.94
50,340,384,Reinforcement Learning,119.46,190.54,37.3,72.68,6.8
20,1905,491,FCFS,360.48,552.51,34.76,98.64,95.25
72,550,837,Round Robin,140.32,319.18,56.04,95.3,7.64
41,235,459,FCFS,438.28,552.12,20.62,65.74,5.73
58,528,868,Bin Packing,358.64,645.79,44.46,86.22,9.1
89,1644,896,Round Robin,111.53,316.32,64.74,82.4,18.47
18,541,264,FCFS,385.91,493.47,21.8,67.71,30.06
99,562,832,FCFS,444.81,590.82,24.71,69.34,5.68
59,1716,680,QoS Aware Heuristic,364.45,594.76,38.72,82.55,29.08
52,1140,920,Bin Packing,112.21,236.63,52.58,72.85,21.92
86,1878,323,Reinforcement Learning,443.17,713.07,37.85,93.39,21.84
11,516,223,Reinforcement Learning,392.99,484.41,18.87,63.91,46.91
78,334,443,QoS Aware Heuristic,251.38,367.51,31.6,96.56,4.28
11,650,950,FCFS,231.45,317.67,27.14,93.62,59.09
37,1490,623,QoS Aware Heuristic,291.93,367.97,20.66,89.54,40.27
27,1173,151,QoS Aware Heuristic,446.84,571.92,21.87,70.5,43.44
89,238,228,Bin Packing,200.82,500.61,59.88,88.6,2.67
23,1038,234,Round Robin,140.39,213.97,34.39,77.55,45.13
23,939,756,FCFS,445.85,549.1,18.8,85.35,40.83
40,1931,226,Reinforcement Learning,110.52,228.42,51.62,72.5,48.28
33,437,837,Reinforcement Learning,464.4,669.18,30.6,93.43,13.24
64,290,170,QoS Aware Heuristic,222.3,458.64,51.53,61.62,4.53
86,1855,372,QoS Aware Heuristic,303.29,541.27,43.97,87.66,21.57
6,1804,286,QoS Aware Heuristic,152.92,205.08,25.43,93.15,300.67
5,466,102,FCFS,460.9,673.86,31.6,85.86,93.2
51,1991,384,QoS Aware Heuristic,399.93,607.61,34.18,67.68,39.04
73,225,121,QoS Aware Heuristic,469.66,649.07,27.64,71.4,3.08
24,436,265,Round Robin,373.29,518.09,27.95,80.6,18.17
15,1544,409,FCFS,173.88,423.24,58.92,73.18,102.93
6,902,974,Bin Packing,223.31,359.28,37.85,60.2,150.33
71,1306,576,Bin Packing,294.74,402.24,26.73,61.63,18.39
91,712,597,Round Robin,342.9,470.42,27.11,90.71,7.82
16,501,533,Reinforcement Learning,470.58,630.49,25.36,63.35,31.31
24,326,857,Bin Packing,253.58,357.09,28.99,97.12,13.58
9,1302,333,FCFS,381.23,583.12,34.62,77.71,144.67
41,1244,936,Reinforcement Learning,484.4,755.45,35.88,90.33,30.34
42,1808,769,QoS Aware Heuristic,160.95,359.82,55.27,65.02,43.05
98,262,762,FCFS,445.08,606.75,26.65,97.06,2.67
13,1355,824,Reinforcement Learning,268.28,517.5,48.16,61.35,104.23
57,90,475,Bin Packing,392.97,629.98,37.62,61.69,1.58
48,1195,829,QoS Aware Heuristic,217.42,359.18,39.47,62.18,24.9
90,1300,345,QoS Aware Heuristic,233.59,434.63,46.26,64.14,14.44
28,343,402,FCFS,110.85,343.31,67.71,79.47,12.25
85,649,504,QoS Aware Heuristic,488.56,599.93,18.56,91.53,7.64
78,1340,887,Reinforcement Learning,425.38,566.95,24.97,71.4,17.18
34,590,762,Round Robin,137.57,214.01,35.72,89.83,17.35
63,1832,807,Bin Packing,499.8,796.72,37.27,90.96,29.08
91,1901,120,FCFS,342.01,413.48,17.28,96.33,20.89
85,500,356,Round Robin,441.49,533.64,17.27,65.97,5.88
85,1522,498,Round Robin,126.66,296.62,57.3,65.42,17.91
18,1829,628,FCFS,255.78,522.1,51.01,64.88,101.61
13,1134,150,Reinforcement Learning,367.86,506.83,27.42,74.37,87.23
44,1575,546,Bin Packing,142.57,384.72,62.94,79.58,35.8
70,1220,369,FCFS,295.56,514.57,42.56,78.46,17.43
29,1759,926,Round Robin,277.07,486.74,43.08,70.28,60.66
77,839,694,Round Robin,186.42,447.67,58.36,84.88,10.9
26,383,917,FCFS,220.11,273.65,19.57,73.53,14.73
8,1954,735,Round Robin,486.85,769.14,36.7,74.64,244.25
30,940,901,FCFS,215.46,472.77,54.43,64.22,31.33
62,1215,361,FCFS,185.37,469.84,60.55,83.69,19.6
33,93,464,Bin Packing,314.48,562.88,44.13,86.21,2.82
91,193,148,FCFS,368.38,638.03,42.26,90.32,2.12
41,1938,617,Round Robin,390.04,490.81,20.53,96.16,47.27
79,382,728,QoS Aware Heuristic,401.7,531.51,24.42,90.64,4.84
74,1047,217,Bin Packing,114.73,243.54,52.89,69.43,14.15
22,1570,552,Round Robin,257.5,334.79,23.09,69.43,71.36
89,1469,874,Round Robin,409.58,641.97,36.2,96.6,16.51
46,104,964,Bin Packing,461.94,545.98,15.39,91.61,2.26
45,1380,985,Bin Packing,340.88,404.01,15.63,91.29,30.67
42,919,740,Round Robin,120.92,364.78,66.85,88.79,21.88
38,1496,496,QoS Aware Heuristic,258.66,534.83,51.64,70.69,39.37
21,1490,782,Reinforcement Learning,129.69,370.72,65.02,93.9,70.95
41,1746,126,Round Robin,399.42,655.76,39.09,65.72,42.59
29,846,810,Bin Packing,125.4,324.31,61.33,74.0,29.17
80,374,471,FCFS,174.29,446.23,60.94,73.86,4.68
91,1783,998,FCFS,266.78,440.96,39.5,82.41,19.59
90,1744,925,Bin Packing,285.06,582.14,51.03,78.54,19.38
89,129,956,Bin Packing,262.59,338.44,22.41,78.39,1.45
31,1104,196,Reinforcement Learning,285.36,537.66,46.93,82.14,35.61
61,1034,628,Bin Packing,385.3,595.65,35.31,76.62,16.95
35,1185,784,FCFS,247.71,442.87,44.07,70.0,33.86
10,607,712,QoS Aware Heuristic,319.1,550.55,42.04,86.56,60.7
95,914,285,Bin Packing,221.35,481.42,54.02,91.63,9.62
44,766,795,Reinforcement Learning,241.45,507.17,52.39,79.16,17.41
16,1637,314,QoS Aware Heuristic,345.52,439.37,21.36,85.98,102.31
57,1723,350,Reinforcement Learning,296.2,395.46,25.1,81.41,30.23
75,521,315,QoS Aware Heuristic,389.21,443.25,12.19,62.36,6.95
14,123,128,Bin Packing,324.22,407.18,20.37,76.92,8.79
49,1626,201,FCFS,421.43,537.4,21.58,60.39,33.18
21,1552,222,QoS Aware Heuristic,277.36,507.62,45.36,86.48,73.9
30,638,153,Round Robin,296.41,465.35,36.3,80.33,21.27
89,1460,382,Reinforcement Learning,367.99,607.47,39.42,65.07,16.4
96,1772,713,QoS Aware Heuristic,188.5,360.13,47.66,81.69,18.46
66,1955,216,Reinforcement Learning,254.37,443.27,42.62,95.94,29.62
50,613,715,FCFS,349.94,427.71,18.18,73.62,12.26
68,1506,656,Reinforcement Learning,111.55,355.69,68.64,99.29,22.15
6,1485,213,Reinforcement Learning,274.79,514.32,46.57,98.38,247.5
58,516,954,Round Robin,339.54,466.43,27.2,91.41,8.9
69,648,642,Reinforcement Learning,486.95,619.09,21.34,92.55,9.39
55,1694,775,QoS Aware Heuristic,450.81,555.73,18.88,76.42,30.8
57,1041,800,Reinforcement Learning,212.3,465.76,54.42,76.1,18.26
40,1982,392,Bin Packing,302.88,539.63,43.87,98.18,49.55
30,786,294,Reinforcement Learning,122.57,324.86,62.27,74.65,26.2
33,1043,391,Bin Packing,196.3,306.01,35.85,63.87,31.61
25,297,986,Reinforcement Learning,409.94,502.9,18.48,66.11,11.88
15,1654,360,Reinforcement Learning,149.33,211.9,29.53,88.42,110.27
44,1193,306,QoS Aware Heuristic,203.08,264.48,23.22,75.32,27.11
15,116,663,Bin Packing,477.62,574.4,16.85,67.97,7.73
40,622,148,Bin Packing,429.54,504.67,14.89,92.55,15.55
63,1400,105,Round Robin,412.73,601.76,31.41,79.55,22.22
43,1993,478,Reinforcement Learning,445.82,585.34,23.84,82.71,46.35
58,752,493,Reinforcement Learning,399.84,561.08,28.74,66.16,12.97
59,519,985,QoS Aware Heuristic,148.23,346.75,57.25,67.71,8.8
28,542,323,Round Robin,306.62,521.4,41.19,65.03,19.36
26,1774,122,Round Robin,277.7,489.75,43.3,80.58,68.23
73,712,756,QoS Aware Heuristic,224.46,339.67,33.92,91.03,9.75
60,335,209,Bin Packing,433.62,686.03,36.79,89.29,5.58
37,1987,823,FCFS,285.66,565.09,49.45,70.45,53.7
40,1681,911,QoS Aware Heuristic,124.12,253.1,50.96,94.06,42.02
24,361,652,Bin Packing,209.99,264.26,20.54,64.23,15.04
87,358,498,Round Robin,191.45,466.24,58.94,64.56,4.11
85,824,271,QoS Aware Heuristic,454.99,735.88,38.17,93.97,9.69
66,1170,797,FCFS,358.98,421.72,14.88,69.78,17.73
77,1014,825,Reinforcement Learning,324.15,375.39,13.65,88.32,13.17
30,1186,405,QoS Aware Heuristic,302.66,556.76,45.64,60.36,39.53
70,1710,663,FCFS,360.05,485.42,25.83,63.74,24.43
77,505,681,FCFS,401.95,680.6,40.94,84.37,6.56
77,1536,807,QoS Aware Heuristic,321.75,425.94,24.46,67.3,19.95
44,181,250,Bin Packing,475.31,740.6,35.82,61.13,4.11
21,979,527,QoS Aware Heuristic,490.73,557.89,12.04,78.68,46.62
5,1014,720,Round Robin,498.14,613.3,18.78,73.22,202.8
93,978,566,FCFS,367.76,661.04,44.37,92.09,10.52
65,170,729,FCFS,473.05,580.85,18.56,92.75,2.62
47,1270,976,Reinforcement Learning,261.79,345.04,24.13,84.58,27.02
46,1879,706,FCFS,443.84,708.1,37.32,71.72,40.85
29,1555,867,Reinforcement Learning,463.67,543.12,14.63,78.47,53.62
43,683,655,FCFS,461.66,536.02,13.87,88.09,15.88
39,1867,166,FCFS,432.34,563.2,23.24,62.77,47.87
7,946,255,QoS Aware Heuristic,262.64,471.47,44.29,73.3,135.14
48,821,934,QoS Aware Heuristic,163.56,391.25,58.2,92.89,17.1
55,1112,305,Round Robin,233.58,503.89,53.64,76.24,20.22
98,615,885,Bin Packing,406.92,592.15,31.28,84.99,6.28
16,561,254,Round Robin,193.15,341.5,43.44,63.85,35.06
23,1547,790,FCFS,291.31,431.02,32.41,91.08,67.26
48,1234,608,Round Robin,326.16,587.89,44.52,64.02,25.71
63,338,671,QoS Aware Heuristic,341.54,572.49,40.34,94.46,5.37
53,249,173,FCFS,474.29,750.65,36.82,64.26,4.7
65,1861,148,FCFS,364.6,655.61,44.39,95.64,28.63
21,577,882,Round Robin,414.52,539.53,23.17,74.55,27.48
78,966,566,Reinforcement Learning,332.75,515.17,35.41,84.98,12.38
61,1758,684,Bin Packing,433.43,641.39,32.42,93.86,28.82
59,1576,807,Round Robin,205.47,296.43,30.69,60.41,26.71
51,1321,278,Round Robin,183.95,247.29,25.61,70.63,25.9
16,1456,147,Bin Packing,470.53,737.47,36.2,96.33,91.0
66,1291,171,FCFS,377.39,561.27,32.76,75.53,19.56
84,1160,212,FCFS,368.61,561.3,34.33,88.26,13.81
92,1155,856,Reinforcement Learning,286.92,475.65,39.68,65.6,12.55
87,1135,996,Round Robin,250.68,489.42,48.78,87.13,13.05
12,848,920,Bin Packing,322.28,408.66,21.14,62.93,70.67
99,1573,258,Round Robin,148.23,351.74,57.86,88.69,15.89
25,1115,885,QoS Aware Heuristic,281.89,449.26,37.25,72.95,44.6
85,61,879,Round Robin,282.15,556.39,49.29,78.63,0.72
91,882,915,Round Robin,315.33,495.24,36.33,66.65,9.69
84,1819,129,QoS Aware Heuristic,353.87,639.6,44.67,85.11,21.65
74,890,196,QoS Aware Heuristic,482.93,621.24,22.26,73.5,12.03
76,692,350,Bin Packing,360.87,652.59,44.7,75.34,9.11
29,1188,618,FCFS,453.49,722.28,37.21,86.09,40.97
86,1291,191,Reinforcement Learning,322.52,518.59,37.81,67.15,15.01
93,1722,212,QoS Aware Heuristic,350.77,489.2,28.3,94.08,18.52
16,155,358,FCFS,127.93,271.91,52.95,89.57,9.69
19,740,206,Bin Packing,153.31,396.5,61.33,83.11,38.95
63,577,674,Round Robin,331.87,527.03,37.03,65.13,9.16
30,1545,489,Bin Packing,258.29,408.69,36.8,87.48,51.5
30,1827,457,Bin Packing,419.52,628.53,33.25,60.72,60.9
51,895,882,QoS Aware Heuristic,317.27,550.58,42.38,92.18,17.55
36,942,298,Reinforcement Learning,452.92,508.65,10.96,72.15,26.17
14,436,526,QoS Aware Heuristic,488.93,561.4,12.91,64.69,31.14
20,1299,577,Round Robin,159.05,232.67,31.64,66.58,64.95
75,530,958,QoS Aware Heuristic,257.93,365.91,29.51,98.53,7.07
21,1827,948,Round Robin,365.99,522.74,29.99,90.95,87.0
27,457,602,QoS Aware Heuristic,222.2,473.11,53.03,69.51,16.93
30,1530,757,Reinforcement Learning,206.81,344.58,39.98,98.54,51.0
89,1726,672,FCFS,425.5,479.87,11.33,65.6,19.39
90,947,219,Reinforcement Learning,492.15,662.99,25.77,89.34,10.52
11,760,672,QoS Aware Heuristic,409.52,708.68,42.21,86.27,69.09
18,1697,408,Bin Packing,309.47,446.73,30.73,92.86,94.28
83,688,637,FCFS,277.0,567.31,51.17,75.27,8.29
11,1094,726,Bin Packing,315.86,391.2,19.26,76.07,99.45
13,1732,574,Reinforcement Learning,285.14,378.41,24.65,84.98,133.23
52,1674,651,FCFS,301.16,532.19,43.41,75.93,32.19
76,864,443,QoS Aware Heuristic,181.38,356.68,49.15,61.65,11.37
63,967,727,Bin Packing,461.5,702.78,34.33,89.19,15.35
91,252,235,QoS Aware Heuristic,401.81,667.7,39.82,85.64,2.77
97,466,376,Round Robin,372.39,485.16,23.24,76.95,4.8
86,465,910,FCFS,479.97,700.68,31.5,72.11,5.41
99,1521,632,Bin Packing,213.76,415.66,48.57,72.83,15.36
98,1585,998,Reinforcement Learning,132.46,397.84,66.71,89.64,16.17
43,134,130,Reinforcement Learning,430.46,587.99,26.79,89.17,3.12
22,216,346,Reinforcement Learning,499.37,562.34,11.2,92.76,9.82
63,433,510,Reinforcement Learning,331.37,524.92,36.87,90.49,6.87
21,517,126,Bin Packing,123.52,413.24,70.11,90.32,24.62
18,1145,172,Round Robin,412.19,465.85,11.52,70.07,63.61
35,859,196,Reinforcement Learning,129.5,239.56,45.94,64.06,24.54
28,1046,772,Reinforcement Learning,316.01,445.03,28.99,90.47,37.36
64,1594,445,Reinforcement Learning,211.01,452.47,53.36,63.94,24.91
49,1866,575,Round Robin,466.01,596.83,21.92,99.28,38.08
7,522,399,FCFS,280.53,390.3,28.12,95.0,74.57
41,1042,398,Reinforcement Learning,459.39,671.53,31.59,81.34,25.41
47,1331,386,Reinforcement Learning,219.63,281.23,21.9,74.09,28.32
44,324,984,Reinforcement Learning,254.95,347.6,26.65,81.07,7.36
94,1823,548,FCFS,478.85,630.86,24.1,89.37,19.39
59,1093,311,Reinforcement Learning,180.53,319.43,43.48,90.25,18.53
91,1563,175,FCFS,331.4,468.19,29.22,62.95,17.18
43,1818,500,FCFS,255.4,332.54,23.2,92.19,42.28
19,539,754,QoS Aware Heuristic,409.67,549.88,25.5,85.66,28.37
8,1806,133,QoS Aware Heuristic,151.72,401.22,62.19,61.62,225.75
97,375,597,Reinforcement Learning,274.89,428.35,35.83,72.53,3.87
90,578,947,Bin Packing,379.57,576.11,34.12,80.43,6.42
29,941,615,QoS Aware Heuristic,262.81,353.7,25.7,67.54,32.45
17,138,427,QoS Aware Heuristic,123.41,190.84,35.33,66.21,8.12
86,535,197,Bin Packing,382.04,652.03,41.41,60.57,6.22
37,757,465,Round Robin,301.28,434.12,30.6,96.46,20.46
20,399,828,Reinforcement Learning,104.52,242.1,56.83,62.24,19.95
46,1157,562,Round Robin,345.06,614.48,43.85,74.64,25.15
70,436,127,Round Robin,467.95,694.89,32.66,68.23,6.23
59,136,812,FCFS,144.41,383.48,62.34,89.64,2.31
46,356,485,FCFS,336.27,556.77,39.6,88.29,7.74
38,1923,372,Reinforcement Learning,391.47,467.92,16.34,92.25,50.61
34,1227,925,Bin Packing,128.31,417.81,69.29,84.67,36.09
17,489,226,FCFS,109.05,386.33,71.77,83.67,28.76
17,789,301,QoS Aware Heuristic,285.68,394.74,27.63,76.28,46.41
22,313,620,Reinforcement Learning,416.47,667.47,37.6,85.45,14.23
36,1026,386,Round Robin,164.29,316.64,48.11,64.61,28.5
43,784,549,Reinforcement Learning,434.65,655.59,33.7,87.38,18.23
50,470,187,FCFS,362.63,454.03,20.13,64.16,9.4
33,542,417,Bin Packing,232.87,417.51,44.22,94.47,16.42
66,682,118,Round Robin,306.33,387.98,21.04,80.23,10.33
97,1042,692,Bin Packing,486.23,670.27,27.46,81.21,10.74
66,460,206,Reinforcement Learning,186.57,297.47,37.28,83.39,6.97
61,222,557,Bin Packing,299.81,462.93,35.24,91.04,3.64
20,53,410,Bin Packing,349.79,566.78,38.28,79.14,2.65
60,903,511,Reinforcement Learning,155.21,424.48,63.44,77.1,15.05
14,1713,841,Round Robin,117.41,208.73,43.75,71.53,122.36
34,1035,723,Bin Packing,105.38,378.7,72.17,65.12,30.44
29,1545,831,Bin Packing,229.88,377.39,39.09,67.61,53.28
88,1183,734,Reinforcement Learning,129.58,390.53,66.82,60.02,13.44
9,1940,597,QoS Aware Heuristic,421.51,599.65,29.71,94.78,215.56
69,1110,343,Bin Packing,498.93,764.48,34.74,90.6,16.09
98,632,789,FCFS,124.52,340.23,63.4,68.75,6.45
53,1874,676,Round Robin,273.09,450.27,39.35,60.1,35.36
7,1104,479,Bin Packing,110.29,238.42,53.74,79.68,157.71
49,430,614,Reinforcement Learning,153.6,445.83,65.55,76.5,8.78
18,1341,306,FCFS,229.17,479.39,52.2,91.04,74.5
34,1084,493,Reinforcement Learning,257.48,402.78,36.07,76.12,31.88
72,393,120,Bin Packing,475.91,567.59,16.15,94.56,5.46
22,1913,904,FCFS,258.33,503.21,48.66,63.83,86.95
66,1617,626,Round Robin,298.51,596.0,49.91,74.63,24.5
41,1642,442,Round Robin,198.23,317.97,37.66,97.36,40.05
29,215,817,Round Robin,100.05,379.02,73.6,60.47,7.41
52,749,301,QoS Aware Heuristic,459.73,541.07,15.03,75.63,14.4
69,391,219,Reinforcement Learning,132.69,420.74,68.46,70.39,5.67
57,1555,748,Bin Packing,485.7,722.03,32.73,81.27,27.28
83,1092,911,FCFS,152.34,288.99,47.29,71.15,13.16
77,1701,906,Reinforcement Learning,341.95,468.11,26.95,94.8,22.09
19,1029,488,Bin Packing,499.76,710.62,29.67,97.49,54.16
53,1257,636,QoS Aware Heuristic,155.39,353.77,56.08,93.97,23.72
92,1855,923,Bin Packing,269.58,549.31,50.92,75.94,20.16
72,594,333,Reinforcement Learning,412.17,653.73,36.95,99.6,8.25
16,1083,732,Bin Packing,112.88,297.97,62.12,89.4,67.69
63,1665,701,FCFS,375.91,657.8,42.85,74.22,26.43
41,241,419,QoS Aware Heuristic,132.15,330.33,59.99,63.75,5.88
65,369,811,FCFS,194.61,457.03,57.42,86.68,5.68
47,1775,279,QoS Aware Heuristic,164.03,424.27,61.34,89.14,37.77
74,629,956,QoS Aware Heuristic,462.93,742.73,37.67,64.9,8.5
43,524,467,Bin Packing,172.18,239.08,27.98,81.99,12.19
60,1933,175,FCFS,116.17,312.12,62.78,99.48,32.22
67,686,748,QoS Aware Heuristic,335.05,502.15,33.28,73.05,10.24
50,476,749,QoS Aware Heuristic,238.47,411.11,41.99,72.08,9.52
92,1921,595,Bin Packing,262.28,427.26,38.61,96.13,20.88
15,1132,621,Reinforcement Learning,147.63,407.0,63.73,64.7,75.47
66,1509,300,Reinforcement Learning,399.29,528.9,24.51,97.34,22.86
81,146,929,Round Robin,340.62,506.31,32.73,91.18,1.8
29,545,445,Round Robin,245.69,345.86,28.96,75.63,18.79
75,1860,582,QoS Aware Heuristic,168.63,281.56,40.11,63.34,24.8
56,710,318,Reinforcement Learning,337.38,552.49,38.93,60.77,12.68
8,1351,159,QoS Aware Heuristic,411.44,490.67,16.15,75.03,168.88
63,1338,758,FCFS,224.96,321.92,30.12,88.21,21.24
76,58,718,Reinforcement Learning,110.34,292.35,62.26,79.5,0.76
24,506,649,Reinforcement Learning,185.74,246.68,24.7,89.55,21.08
97,1868,745,Reinforcement Learning,372.96,454.69,17.97,86.82,19.26
67,322,320,Round Robin,495.64,761.48,34.91,82.92,4.81
58,989,914,Bin Packing,105.35,366.89,71.29,98.7,17.05
78,1886,601,Bin Packing,222.46,359.4,38.1,89.14,24.18
61,1081,232,Round Robin,124.81,261.81,52.33,96.58,17.72
94,257,945,Round Robin,226.54,510.67,55.64,69.69,2.73
45,1987,152,Round Robin,262.37,318.83,17.71,88.55,44.16
7,1710,549,Bin Packing,468.34,663.41,29.4,83.91,244.29
10,1196,161,QoS Aware Heuristic,132.22,331.57,60.12,96.97,119.6
9,1106,122,Round Robin,410.85,657.82,37.54,80.42,122.89
9,1586,143,QoS Aware Heuristic,258.21,546.15,52.72,71.19,176.22
58,253,919,QoS Aware Heuristic,424.51,563.47,24.66,75.39,4.36
51,567,657,FCFS,305.36,464.82,34.31,68.75,11.12
91,1882,758,Bin Packing,115.71,333.53,65.31,68.8,20.68
53,566,827,QoS Aware Heuristic,478.48,770.3,37.88,78.82,10.68
13,492,951,Bin Packing,133.09,405.79,67.2,95.7,37.85
24,1665,146,Bin Packing,339.07,555.83,39.0,67.67,69.38
65,1859,958,FCFS,451.07,715.25,36.94,71.51,28.6
39,738,919,Bin Packing,131.91,203.21,35.09,94.12,18.92
54,899,123,QoS Aware Heuristic,321.56,465.84,30.97,73.57,16.65
86,882,756,Reinforcement Learning,429.72,482.99,11.03,98.5,10.26
66,388,188,QoS Aware Heuristic,494.53,588.9,16.02,70.76,5.88
21,1511,273,QoS Aware Heuristic,389.73,597.35,34.76,77.69,71.95
92,1518,675,Bin Packing,211.33,482.72,56.22,63.82,16.5
7,1209,218,QoS Aware Heuristic,379.83,588.03,35.41,99.69,172.71
36,436,834,Reinforcement Learning,382.31,598.34,36.1,95.61,12.11
17,1098,767,Bin Packing,379.99,455.95,16.66,92.7,64.59
93,555,277,Round Robin,441.7,657.92,32.86,66.29,5.97
77,1398,931,QoS Aware Heuristic,134.95,298.54,54.8,98.77,18.16
72,1768,441,QoS Aware Heuristic,143.37,356.23,59.75,97.17,24.56
18,729,667,FCFS,356.25,487.79,26.97,77.43,40.5
15,1411,158,Round Robin,481.55,676.92,28.86,87.27,94.07
60,739,537,Round Robin,286.34,442.36,35.27,99.7,12.32
71,934,527,Reinforcement Learning,484.23,673.89,28.14,76.39,13.15
96,1168,525,Round Robin,475.23,562.0,15.44,64.52,12.17
33,1618,480,FCFS,461.16,610.12,24.41,94.71,49.03
13,672,585,Reinforcement Learning,463.94,607.51,23.63,79.06,51.69
71,1219,831,Round Robin,459.33,693.43,33.76,99.48,17.17
29,942,284,Reinforcement Learning,427.96,654.56,34.62,82.04,32.48
80,1002,658,Round Robin,377.99,655.2,42.31,61.18,12.52
46,1304,559,Round Robin,109.76,317.77,65.46,79.67,28.35
13,833,988,Round Robin,152.9,281.54,45.69,88.72,64.08
83,1921,201,QoS Aware Heuristic,153.69,399.5,61.53,61.04,23.14
44,544,655,Round Robin,109.42,283.67,61.43,76.54,12.36
29,1111,114,QoS Aware Heuristic,146.68,245.05,40.14,66.22,38.31
9,1498,847,Bin Packing,467.9,704.75,33.61,85.72,166.44
15,1720,972,FCFS,365.52,448.65,18.53,98.29,114.67
63,1919,150,Reinforcement Learning,224.83,319.37,29.6,84.98,30.46
92,796,408,Reinforcement Learning,417.34,657.03,36.48,87.8,8.65
83,486,133,Bin Packing,295.35,537.89,45.09,75.86,5.86
42,1904,735,Round Robin,156.85,404.55,61.23,82.53,45.33
76,1441,688,FCFS,453.8,577.13,21.37,81.75,18.96
9,394,734,Bin Packing,235.46,502.11,53.11,90.38,43.78
52,1233,304,Bin Packing,379.54,610.21,37.8,94.28,23.71
94,599,839,Reinforcement Learning,216.24,474.73,54.45,86.52,6.37
